colour	x	y	tooltip	key	PANEL	fill
#F8766D	-0.0922074380970889	0	minimum cost = 0 with inactive constraint at mean = -0.0922 for 1 segment model up to data point 1 previous segment end = 0	0	1	#F8766D
#F8766D	-0.0860914074088424	7.48116627591455e-05	minimum cost = 1e-04 with inactive constraint at mean = -0.0861 for 1 segment model up to data point 2 previous segment end = 0	0	1	#F8766D
#F8766D	-0.0655008313376992	0.00261864260040835	minimum cost = 0.0026 with inactive constraint at mean = -0.0655 for 1 segment model up to data point 3 previous segment end = 0	0	1	#F8766D
#F8766D	-0.0325187830685304	0.0156724286967657	minimum cost = 0.0157 with inactive constraint at mean = -0.0325 for 1 segment model up to data point 4 previous segment end = 0	0	1	#F8766D
#F8766D	-0.00693111343908784	0.0287670054380757	minimum cost = 0.0288 with inactive constraint at mean = -0.0069 for 1 segment model up to data point 5 previous segment end = 0	0	1	#F8766D
#F8766D	0.0200928471209168	0.0506758387685363	minimum cost = 0.0507 with inactive constraint at mean = 0.0201 for 1 segment model up to data point 6 previous segment end = 0	0	1	#F8766D
#F8766D	0.0113305857848028	0.0539004821648753	minimum cost = 0.0539 with inactive constraint at mean = 0.0113 for 1 segment model up to data point 7 previous segment end = 0	0	1	#F8766D
#F8766D	0.0214567840800413	0.0596427161120868	minimum cost = 0.0596 with inactive constraint at mean = 0.0215 for 1 segment model up to data point 8 previous segment end = 0	0	1	#F8766D
#F8766D	0.0118634912283862	0.0662689673891952	minimum cost = 0.0663 with inactive constraint at mean = 0.0119 for 1 segment model up to data point 9 previous segment end = 0	0	1	#F8766D
#F8766D	0.00938452466112057	0.0668220421609411	minimum cost = 0.0668 with inactive constraint at mean = 0.0094 for 1 segment model up to data point 10 previous segment end = 0	0	1	#F8766D
#F8766D	0.00263294500239557	0.0718362632286331	minimum cost = 0.0718 with inactive constraint at mean = 0.0026 for 1 segment model up to data point 11 previous segment end = 0	0	1	#F8766D
#F8766D	0.000860685073941691	0.0722508627221615	minimum cost = 0.0723 with inactive constraint at mean = 9e-04 for 1 segment model up to data point 12 previous segment end = 0	0	1	#F8766D
#F8766D	-0.00183749957312405	0.0733865739829487	minimum cost = 0.0734 with inactive constraint at mean = -0.0018 for 1 segment model up to data point 13 previous segment end = 0	0	1	#F8766D
#F8766D	-0.00624217405405505	0.0769175846084483	minimum cost = 0.0769 with inactive constraint at mean = -0.0062 for 1 segment model up to data point 14 previous segment end = 0	0	1	#F8766D
#F8766D	0.00022750001676946	0.085707487950815	minimum cost = 0.0857 with inactive constraint at mean = 2e-04 for 1 segment model up to data point 15 previous segment end = 0	0	1	#F8766D
