colour	x	y	tooltip	key	PANEL	fill
#F8766D	-0.0922074380970889	0	minimum cost = 0 with inactive constraint at mean = -0.0922 for 1 segment model up to data point 1 previous segment end = 0	0	1	#F8766D
#F8766D	-0.0860914074088424	7.48116627591455e-05	minimum cost = 1e-04 with inactive constraint at mean = -0.0861 for 1 segment model up to data point 2 previous segment end = 0	0	1	#F8766D
#F8766D	-0.0655008313376992	0.00261864260040835	minimum cost = 0.0026 with inactive constraint at mean = -0.0655 for 1 segment model up to data point 3 previous segment end = 0	0	1	#F8766D
#F8766D	-0.0655008313376992	0.00261864260040835	minimum cost = 0.0026 with inactive constraint at mean = -0.0655 for 1 segment model up to data point 3 previous segment end = 0	0	1	#F8766D
#F8766D	-0.0655008313376992	0.00261864260040835	minimum cost = 0.0026 with inactive constraint at mean = -0.0655 for 1 segment model up to data point 3 previous segment end = 0	0	1	#F8766D
#F8766D	-0.0655008313376992	0.00261864260040835	minimum cost = 0.0026 with inactive constraint at mean = -0.0655 for 1 segment model up to data point 3 previous segment end = 0	0	1	#F8766D
#F8766D	-0.0655008313376992	0.00261864260040835	minimum cost = 0.0026 with inactive constraint at mean = -0.0655 for 1 segment model up to data point 3 previous segment end = 0	0	1	#F8766D
#F8766D	-0.0655008313376992	0.00261864260040835	minimum cost = 0.0026 with inactive constraint at mean = -0.0655 for 1 segment model up to data point 3 previous segment end = 0	0	1	#F8766D
#F8766D	-0.0655008313376992	0.00261864260040835	minimum cost = 0.0026 with inactive constraint at mean = -0.0655 for 1 segment model up to data point 3 previous segment end = 0	0	1	#F8766D
#F8766D	-0.0655008313376992	0.00261864260040835	minimum cost = 0.0026 with inactive constraint at mean = -0.0655 for 1 segment model up to data point 3 previous segment end = 0	0	1	#F8766D
#F8766D	-0.0655008313376992	0.00261864260040835	minimum cost = 0.0026 with inactive constraint at mean = -0.0655 for 1 segment model up to data point 3 previous segment end = 0	0	1	#F8766D
#F8766D	-0.0655008313376992	0.00261864260040835	minimum cost = 0.0026 with inactive constraint at mean = -0.0655 for 1 segment model up to data point 3 previous segment end = 0	0	1	#F8766D
#F8766D	-0.0655008313376992	0.00261864260040835	minimum cost = 0.0026 with inactive constraint at mean = -0.0655 for 1 segment model up to data point 3 previous segment end = 0	0	1	#F8766D
#F8766D	-0.0655008313376992	0.00261864260040835	minimum cost = 0.0026 with inactive constraint at mean = -0.0655 for 1 segment model up to data point 3 previous segment end = 0	0	1	#F8766D
#F8766D	-0.0655008313376992	0.00261864260040835	minimum cost = 0.0026 with inactive constraint at mean = -0.0655 for 1 segment model up to data point 3 previous segment end = 0	0	1	#F8766D
